timestamp,size,proto,sport,dport,ttl
1765273313.7923496,60,TCP,443,18099,49
1765273313.7938607,60,TCP,443,18099,49
1765273313.794902,59,TCP,18099,443,64
1765273313.7956843,385,TCP,18099,443,64
1765273313.7972107,71,TCP,18099,443,64
1765273313.8375845,60,TCP,443,18099,49
1765273313.8393223,60,TCP,443,18099,49
1765273313.8406155,60,TCP,443,18099,49
1765273313.9807186,78,TCP,443,18099,49
1765273314.0264306,54,TCP,18099,443,64
1765273314.2149167,59,TCP,18099,443,64
1765273314.216106,385,TCP,18099,443,64
1765273314.2172484,71,TCP,18099,443,64
1765273314.2586548,60,TCP,443,18099,49
1765273314.259949,60,TCP,443,18099,49
1765273314.2613807,60,TCP,443,18099,49
1765273314.3551784,66,TCP,21466,80,64
1765273314.3705008,66,TCP,21467,80,64
1765273314.8028612,59,TCP,18099,443,64
1765273314.8039522,385,TCP,18099,443,64
1765273314.8050416,71,TCP,18099,443,64
1765273314.8475149,60,TCP,443,18099,49
1765273314.8488486,60,TCP,443,18099,49
1765273314.850364,60,TCP,443,18099,49
1765273315.2216578,59,TCP,18099,443,64
1765273315.2229228,385,TCP,18099,443,64
1765273315.2241273,71,TCP,18099,443,64
1765273315.2663887,60,TCP,443,18099,49
1765273315.267978,60,TCP,443,18099,49
1765273315.2691183,60,TCP,443,18099,49
1765273315.3929985,55,TCP,41605,443,64
1765273315.4887838,66,TCP,443,41605,115
1765273315.693231,83,UDP,5353,5353,1
1765273315.7042012,337,UDP,5353,5353,1
1765273315.7677424,66,TCP,1298,80,64
1765273315.8145547,59,TCP,18099,443,64
1765273315.8158033,385,TCP,18099,443,64
1765273315.8169124,71,TCP,18099,443,64
1765273315.8584745,60,TCP,443,18099,49
1765273315.8597913,60,TCP,443,18099,49
1765273315.8612022,60,TCP,443,18099,49
1765273316.157903,55,TCP,48839,443,64
1765273316.2275994,66,TCP,443,48839,115
1765273316.236042,59,TCP,18099,443,64
1765273316.2372978,385,TCP,18099,443,64
1765273316.238488,71,TCP,18099,443,64
1765273316.2701192,145,TCP,1270,443,64
1765273316.2800572,60,TCP,443,18099,49
1765273316.2816978,60,TCP,443,18099,49
1765273316.2858748,60,TCP,443,18099,49
1765273316.2896156,167,TCP,19398,443,64
1765273316.2921402,93,TCP,19398,443,64
1765273316.2934926,1129,TCP,19398,443,64
1765273316.3128521,60,TCP,443,1270,52
